,title,genre
269,Batonga,Dance/Electronica
270,Battle Of New Orleans,Country/Bluegrass
271,"Baubles, Bangles, And Beads",Jazz
272,Bawitdaba,Rock/Pop
273,Bay City,Jazz
274,Be Careful With A Fool,Blues
275,Be In My Video,Rock/Pop
276,Be My Baby,R & B/Soul
277,Be My Love,Musical/Film
278,Be My Yoko Ono,Rock/Pop
279,Be There,Dance/Electronica
280,Beads,Jazz
281,Beale Street Blues,Blues
282,Bean And The Boys,Jazz
283,Beast Of Burden,R & B/Soul
284,Beat It,R & B/Soul
285,Beat Me Daddy (Eight To The Bar),Swing
286,Beats And Pieces,Dance/Electronica
287,Beautiful Ohio,Musical/Film
288,Beautiful Skin,Hip-Hop
289,Beauty Is A Rare Thing,Jazz
290,Beauty Mark,Rock/Pop
291,Bebop,Jazz
292,Be-bop-a-lula,Rock/Pop
293,Because The Night,Rock/Pop
294,Because You're Mine,Musical/Film
295,Bedelia,Musical/Film
296,Beds Are Burning,Rock/Pop
297,Been Caught Stealing,Rock/Pop
298,"Been There, Done That",Hip-Hop
299,Beer Barrel Polka,Folk/Roots
300,Beetlebum,Rock/Pop
301,Before The Next Teardrop Falls,Country/Bluegrass
302,Begin The Beguine,Jazz
303,Behind Closed Doors,Country/Bluegrass
304,Bei Mir Bist Du Schon,Swing
305,Being Green,Jazz
306,Belfunk,Dance/Electronica
307,Bellhead,Dance/Electronica
308,Bellybowl,Folk/Roots
309,Bentley's Gonna Sort You Out,Dance/Electronica
310,Bernie's Tune,Jazz
311,Besame Mucho,Jazz
312,Beside You,R & B/Soul
313,Bessie's Blues,Jazz
314,Best Of My Love,R & B/Soul
315,"Best Things In Life Are Free, The",Musical/Film
316,Bette Davis Eyes,Rock/Pop
317,Better Get Hit In Yo' Soul,Jazz
318,Bewitched (Bothered And Bewildered),Jazz
319,Beyond The Blue Horizon,Musical/Film
320,Beyond The Sea,Jazz
321,Big Black Car,Rock/Pop
322,Big Boss Man,Blues
323,Big City Blues,Blues
324,Big City Woman,Blues
325,Big Fun,Dance/Electronica
326,Big Girls Don't Cry,Rock/Pop
327,"Big Hat, No Cattle",Country/Bluegrass
328,Big Iron,Country/Bluegrass
329,Big Joe Mufferaw,Country/Bluegrass
330,Big Momma Thang,Hip-Hop
331,Big Ol' Goofy World,Folk/Roots
332,Big Pimpin',Hip-Hop
333,Big Poppa,Hip-Hop
334,Big River,Country/Bluegrass
335,Big Road Blues,Blues
336,Big Rock Candy Mountain,Folk/Roots
337,Big Ship,Reggae
338,Big Spender,Jazz
339,Big Three Killed My Baby,Rock/Pop
340,Big Time Sensuality,Dance/Electronica
341,Big Yellow Taxi,Rock/Pop
342,Bike,Rock/Pop
343,Biko,Rock/Pop
344,"Bilbao Song, The",Jazz
345,Bill,Musical/Film
346,Bill Bailey Won't You Please Come Home,Jazz
347,Billie Jean,R & B/Soul
348,Billie's Blues,Blues
349,Bills Bills Bills,R & B/Soul
350,Billy Bayou,Country/Bluegrass
351,"Bird In A Gilded Cage, A",Musical/Film
352,Bird Of Paradise,Jazz
353,Bird On The Wire (aka Bird On A Wire),Folk/Roots
354,Birdhouse In Your Soul,Rock/Pop
355,Birdland,Jazz
356,"Birth Of The Blues, The",Blues
357,Bitches Brew,Jazz
358,Bittersweet Symphony,Rock/Pop
359,Bizarre Love Triangle,Dance/Electronica
360,Black And Blue,Jazz
361,Black And Crazy Blues,Jazz
362,Black Bottom Stomp,Jazz
363,Black Codes (From The Underground),Jazz
364,Black Coffee,Jazz
365,Black Crow,Rock/Pop
366,Black Dog,Rock/Pop
367,Black Ego,Hip-Hop
368,"Black Fly Song, The",Folk/Roots
369,Black Hole Sun,Rock/Pop
370,Black Ice,Hip-Hop
371,Black Magic Woman,Blues
372,Black Man Time,Reggae
373,Black Napkins,Rock/Pop
374,Black Night,Blues
375,Black Orchid,Jazz
376,Black Snake Moan,Blues
377,Black Steel,Dance/Electronica
378,Black Steel In The Hour Of Chaos,Hip-Hop
379,Black Velvet,Rock/Pop
380,Blackbird,Rock/Pop
381,Blame It On My Youth,Jazz
382,Bleckentrommel,Dance/Electronica
383,Blessed,Reggae
384,Blinded By The Light,Rock/Pop
385,Bling Bling,Hip-Hop
386,Blister In The Sun,Rock/Pop
387,Blitzkrieg Bop,Rock/Pop
388,Block Rockin' Beats,Dance/Electronica
389,Blood On The Saddle,Country/Bluegrass
390,Blow At High Dough,Rock/Pop
391,Blow Gabriel Blow,Jazz
392,Blow Wind Blow,Jazz
393,Blowin' In The Wind,Folk/Roots
394,Blowin' The Blues Away,Jazz
395,Blue,Rock/Pop
396,Blue,Country/Bluegrass
397,Blue Bayou,Rock/Pop
398,Blue Eyes Crying In The Rain,Country/Bluegrass
399,Blue Fear,Dance/Electronica
400,Blue Flowers,Hip-Hop
401,Blue Ghost Blues,Blues
402,Blue Hawaii,Musical/Film
403,Blue In Green,Jazz
404,Blue Lines,Dance/Electronica
405,Blue Monday,Dance/Electronica
406,Blue Monk,Jazz
407,Blue Moon,Jazz
408,Blue Moon Of Kentucky,Country/Bluegrass
409,Blue River,Folk/Roots
410,Blue Rondo A La Turk,Jazz
411,Blue Room,Dance/Electronica
412,"Blue Room, The",Musical/Film
413,Blue Seven (Blue 7),Jazz
414,Blue Shadows On The Trail,Country/Bluegrass
415,Blue Skies,Jazz
416,Blue Suede Shoes,Rock/Pop
417,Blue Trane,Jazz
418,Blue Valentines,Jazz
419,Blueberry Hill,R & B/Soul
420,Bluegrass Breakdown,Country/Bluegrass
421,Blues Before Sunrise,Blues
422,Blues Connotation,Jazz
423,Blues Etude,Jazz
424,Blues From A Gun,Rock/Pop
425,Blues In The Night,Jazz
426,Blues March,Jazz
427,Blues On The Corner,Jazz
428,Blues Palace,Folk/Roots
429,"Blues, The",R & B/Soul
430,Bo Diddley,Rock/Pop
431,Bo' Weevil Blues,Blues
432,Boa Constrictor,Folk/Roots
433,Bob,Rock/Pop
434,Body And Soul,Jazz
435,Bohemia,Folk/Roots
436,Bohemia Rag,Ragtime
437,Bohemian Rhapsody,Rock/Pop
438,Bolero,Classical/ Contemporary
439,Bombshelter Beast,Jazz
440,Bombtrack,Rock/Pop
441,Bonanza Theme,Musical/Film
442,Bonaparte's Retreat,Country/Bluegrass
443,Bone Machine,Rock/Pop
444,Bonin' In The Boneyard,Rock/Pop
445,Bonita Applebum,Hip-Hop
446,Boogie Chillen,Blues
447,Boogie Nights,Dance/Electronica
448,Boogie Wonderland,Dance/Electronica
449,Boogie Woogie Bugle Boy,Swing
450,Boogie Woogie Dancin' Shoes,Dance/Electronica
451,Book Of Love,R & B/Soul
452,Boom Boom,Blues
453,Boom Boom,Jazz
454,"Boom, Boom, Out Goes The Lights",Blues
455,Boombastic,Reggae
456,Boots Of Spanish Leather,Folk/Roots
457,Bop Gun (Endangered Species),R & B/Soul
458,Bop-Be,Jazz
459,Boplicity,Jazz
460,Border Song (Holy Moses),Rock/Pop
461,Born At The Right Time,Rock/Pop
462,Born In Chicago,Blues
463,Born In The USA,Rock/Pop
464,Born On The Bayou,Blues
465,Born Slippy,Dance/Electronica
466,Born To Be Blue,Jazz
467,Born To Be Wild,Rock/Pop
468,Born To Lose,Country/Bluegrass
469,Born To Run,Rock/Pop
470,Born Under A Bad Sign,Blues
471,Borough Check,Hip-Hop
472,Borstal Boys,Rock/Pop
473,Both Sides Now,Folk/Roots
474,Bottle Of Blues,Rock/Pop
475,Boulder To Birmingham,Country/Bluegrass
476,"Boulevard Of Broken Dreams, The",Jazz
477,Bouncer,Dance/Electronica
478,Bouncing With Bud,Jazz
479,Bouquet Of Roses,Country/Bluegrass
480,Bourgeois Blues,Blues
481,"Boxer, The",Folk/Roots
482,"Boy From New York City, The",R & B/Soul
483,"Boy In The Bubble, The",Rock/Pop
484,"Boy Named Sue, A",Country/Bluegrass
485,"Boys Of Summer, The",Rock/Pop
486,Boyz-N-The-Hood,Hip-Hop
487,Brainstorm On The U. D. S.,Rock/Pop
488,Brand New Funk,Hip-Hop
489,Brand New Man,Country/Bluegrass
490,Brand New Tennessee Waltz,Folk/Roots
491,Brass In Pocket (I'm Special),Rock/Pop
492,Brass Monkey,Hip-Hop
493,Braver Newer World,Country/Bluegrass
494,Brazil,Swing
495,Break On Through To The Other Side,Rock/Pop
496,Breaking Up Is Hard To Do,Rock/Pop
497,"Breaks, The",Hip-Hop
498,Breathless,Rock/Pop
499,Bredda Gravalicious,Reggae
500,Breezin' Along With The Breeze,Musical/Film
501,Brenda's Got A Baby,Hip-Hop
502,"Bridge Is Over, The",Hip-Hop
503,Bridge Over Troubled Water,Rock/Pop
504,"Bridge, The",Hip-Hop
505,"Bright Lights, Big City",Blues
506,Bright Moments,Jazz
507,Bright Side Of The Road,R & B/Soul
508,Brilliant Corners,Jazz
509,Brilliant Mistake,Rock/Pop
510,Brimful Of Asha,Dance/Electronica
511,"Bring In Da Noise, Bring In Da Funk",Musical/Film
512,Bring It On Home To Me,R & B/Soul
513,Bring Me Some Water,Folk/Roots
514,Bring The Noise,Hip-Hop
515,Bring The Pain,Hip-Hop
516,Bring Your Fine Self Home,Blues
517,"Bristol Stomp, The",Rock/Pop
518,"Broadway Melody, The",Musical/Film
519,Broken Hearted Melody,Jazz
520,Brooklyn Took It,Hip-Hop
521,Brooklyn Zoo,Hip-Hop
522,Brooklyn's Finest,Hip-Hop
523,"Brother, Can You Spare A Dime?",Folk/Roots
524,Brown Paper Bag,Dance/Electronica
525,Brown Shoes Don't Make It,Rock/Pop
526,Brown Skin Lady,Hip-Hop
527,Brown Sugar,Rock/Pop
528,Brown Sugar,R & B/Soul
529,Brown-Eyed Girl,Rock/Pop
530,Brown-Eyed Handsome Man,Rock/Pop
531,Brown's Ferry Blues,Country/Bluegrass
532,Brownsville Blues,Blues
533,Brush Up Your Shakespeare,Musical/Film
534,Bud Powell,Jazz
535,Buddy Bolden's Blues,Jazz
536,Buffalo Skinners,Folk/Roots
537,Bug Powder Dust,Dance/Electronica
